author_name,find_or_not,H-index,G-index
Malia F. Mason,YES,27,54
Roland Imhoff,YES,25,49
Simone Tang,YES,25,55
Jordan R. Axt,NO,-1,-1
Jennifer Susan McClung,NO,-1,-1
Melissa T. Buelow,YES,17,35
Alek Chakroff,NO,-1,-1
Peter V. Zunick,NO,-1,-1
Colleen M. Cowgill,NO,-1,-1
Nicholas D. Duran,NO,-1,-1
Elze G. Ufkes,YES,11,20
Dries H. Bostyn,YES,6,13
Jae-Eun Namkoong,YES,3,7
Pascal Pansu,YES,26,42
Andrew Luttrell,YES,9,16
Sarah Ariel Lamer,YES,4,6
Connson C. Locke,NO,-1,-1
Ruthie Pliskin,YES,11,19
Elaine O. Cheung,NO,-1,-1
Jennifer L. Rennels,YES,21,37
Abigail B. Sussman,YES,12,28
Uriel Haran,YES,9,14
Jochim Hansen,YES,17,34
Jan-Willem van Prooijen,YES,33,56
Yuwei Jiang,YES,15,23
Kendall J. Eskine,NO,-1,-1
Dmitrij Agroskin,NO,-1,-1
Zhansheng Chen,YES,23,40
Monica Biernat,YES,47,101
Robert G. Franklin,YES,18,34
Mark Tarrant,YES,27,56
Philipp S¨¹ssenbach,NO,-1,-1
Andreas Kappes,YES,11,23
Daniel C. Feiler,NO,-1,-1
Tessa V. West,NO,-1,-1
Andrew R. Todd,YES,25,42
Karl-Andrew Woltin,YES,9,16
Serena Does,YES,3,6
S. Christian Wheeler,YES,34,79
David Tannenbaum,YES,22,72
Justin J. Lehmiller,YES,18,36
Philip E. Tetlock,YES,98,108
Eliza Bliss-Moreau,YES,25,70
Reginald B. Adams,YES,44,26
Elizabeth J. Parks-Stamm,YES,13,26
Anne Maass,YES,56,104
Marijke C. Leliveld,YES,10,23
Robert G. Franklin,duplicate,18,34
Etienne P. LeBel,YES,22,38
Sonia K. Kang,YES,17,28
Mary Steffel,YES,10,9
Daniella M Kupor,NO,-1,-1
Mandy H¨¹tter,YES,14,14
Richard G Netemeyer,NO,-1,-1
Mina Kwon,YES,2,1
Wilson Bastos,YES,4,6
Freeman Wu,NO,-1,-1
John T. Jost,YES,80,200
Ashwani Monga,NO,-1,-1
Bella Rozenkrants,NO,-1,-1
Veronika Ilyuk,NO,-1,-1
Leilei Gao,NO,-1,-1
Kaitlin Woolley,YES,8,18
Marisabel Romero,YES,14,30
Aaron R. Brough,YES,5,17
Ji Hoon Jhang,YES,4,8
Marsha L. Richins,NO,-1,-1
Daniel M. Bartels,YES,24,35
Ali Faraji-Rad,YES,5,12
Alexander Chernev,YES,28,35
Anuj K. Shah,NO,-1,-1
Bart de Langhe,YES,10,25
Jane E. J. Ebert,YES,8,11
Hyojin Lee,YES,6,11
Cathy Yi Chen,YES,13,23
Sean Blair,YES,3,8
Joshua J. Clarkson,YES,19,13
Rod Duclos,YES,7,21
Liad Weiss,YES,3,10
Marsha L. Richins,duplicate,-1,-1
Arul Mishra,NO,-1,-1
Anneleen Van Kerckhove,YES,8,15
Koert Van Ittersum,NO,-1,-1
Jiewen Hong,YES,10,22
Promothesh Chatterjee,YES,5,15
Mauricio M. Palmeira,YES,7,15
Keisha M. Cutright,NO,-1,-1
Dan King,YES,95,166
Katherine White,YES,60,131
Anat Keinan,YES,14,44
Joan Meyers-Levy,NO,-1,-1
Wenbo Wang,YES,68,105
Caglar Irmak,YES,12,32
Ying Zhang,YES,106,217
Michel Tuan Pham,YES,38,102
Aner Sela,YES,11,28
Robin J. Tanner,YES,11,22
Leif D. Nelson,YES,36,105
Siegfried Dewitte,YES,39,82
Gal Zauberman,YES,31,69
Karima Modjadidi,NO,-1,-1
Mitchell L. Eisen,NO,-1,-1
Kyle C. Scherr,NO,-1,-1
Glenn D. Walters,NO,-1,-1
Anna-Kaisa Newheiser,NO,-1,-1
Inge Jeandarme,NO,-1,-1
Ellen Giebels,YES,26,47
Chantelle M. Baguley,NO,-1,-1
Kathryn J. Holland,NO,-1,-1
Kirk R. Williams,YES,37,68
Lorraine Hope,YES,4,7
Scott E. Wolfe,NO,-1,-1
Natalie J. Jones,NO,-1,-1
Neil R. Hogan,NO,-1,-1
Evan M. Lowder,YES,8,12
Laura S. Guy,YES,2,6
Heather Zelle,NO,-1,-1
Christine L. Ruva,NO,-1,-1
Glenn D. Walters,duplicate,-1,-1
Tara N. Richards,NO,-1,-1
Erika K. Penner,NO,-1,-1
Jane L. Wood,YES,31,65
Michael J. Vitacco,NO,-1,-1
Laura Smalarz,YES,13,24
Ver¨®nica Caridad Rabelo,YES,11,20
Jennifer Eno Louden,YES,17,40
Philip D. Howard,NO,-1,-1
Jennifer K. Robbennolt,YES,29,57
Masaru Takahashi,NO,-1,-1
W. Neil Gowensmith,NO,-1,-1
Randall T. Salekin,NO,-1,-1
D. Brian Wallace,NO,-1,-1
Matthew A. Palmer,YES,15,31
Andrew Levin,YES,40,159
Kirk R. Williams,duplicate,37,68
Kathryn C. Monahan,NO,-1,-1
Hunter A. McAllister,NO,-1,-1
Martin V. Day,YES,10,12
Angela W. Eke,NO,-1,-1
Bradley D. McAuliff,NO,-1,-1
Connie J. A. Beck,NO,-1,-1
Candice L. Odgers,NO,-1,-1
Jessica K. Swanner,NO,-1,-1
Dan M. Kahan,NO,-1,-1
Jingqiu Chen,YES,5,11
Marius van Dijke,NO,-1,-1
Kevin W. Rockmann,NO,-1,-1
John Antonakis,YES,45,58
Haiyang Liu,YES,7,10
Alex P. Lindsey,NO,-1,-1
Peter A. Bamberger,NO,-1,-1
Abdifatah A. Ali,YES,4,7
Cristiano L. Guarana,YES,9,4
Timothy Ballard,YES,7,14
Wen-Dong Li,NO,-1,-1
Kelsey-Jo Ritter,YES,3,6
Thomas Rockstuhl,YES,16,25
Nathan P. Podsakoff,NO,-1,-1
Amit Kramer,YES,13,27
Brian J. Hoffman,YES,32,76
Michael R. Parke,YES,4,4
Huiwen Lian,YES,15,34
Mary B. Mawritz,YES,13,26
Nale Lehmann-Willenbrock,NO,-1,-1
Tammy L. Rapp,YES,11,20
Susan Mohammed,YES,24,72
Robert R. Hirschfeld,YES,19,29
Aaron M. Watson,YES,9,13
Leslie A. DeChurch,NO,-1,-1
Herman H. M. Tse,YES,20,35
D. Ramona Bobocel,NO,-1,-1
Michal Biron,YES,19,48
Robert B. Davison,NO,-1,-1
Samuel Aryee,NO,-1,-1
Maike E. Debus,YES,6,17
Frank R. C. de Wit,NO,-1,-1
Allison S. Gabriel,YES,20,40
Michael R. Bashshur,YES,16,21
Jennifer S. Mueller,NO,-1,-1
Jia Hu,YES,43,66
Debra L. Shapiro,YES,54,133
Guihyun Park,YES,7,16
Xiao-Hua (Frank) Wang,YES,9,14
Thomas W. H. Ng,NO,-1,-1
Jana L. Raver,NO,-1,-1
Filip Lievens,NO,-1,-1
Peter A. Creed,NO,-1,-1
D. Lance Ferris,NO,-1,-1
Carsten K. W. De Dreu,NO,-1,-1
Jin Nam Choi,YES,44,89
Imran S. Currim,NO,-1,-1
Jeffrey Meyer,YES,57,112
Hauke A. Wetzel,YES,6,14
Shibin Sheng,YES,20,37
Na Young Lee,YES,6,9
Andrew E. Wilson,YES,5,6
Stefan Worm,YES,6,13
Anna Sadovnikova,YES,2,3
Shahin Rasoulian,NO,-1,-1
Stephen K. Kim,YES,3,5
Jeremy S. Wolter,YES,5,12
Bernhard Swoboda,NO,-1,-1
Daniel Han Ming Chng,YES,6,16
